body,label
$spy $dia $qqq like $IBM lenovo & $bb name $aapl eventually can be own by China.  US knows this...and I predict no trade deal,0
"$AMZN +8% is ripping the eye sockets out of ""valuation"" bears",1
$AAPL Is it just me or was the market also down big on last ER? Coincidence?,-1
"Yup, the $tsla worshippers are actually claiming that, that means profit!!!",1
"Last week's Motley Fool's Tech Industry Focus, talking #uber $GRUB and $GOOG",0
#FMAGAT is the new #FAANGF’n maggot storefronts of the mafia elites. $FB $MSFT $AMZN $GOOG $AAPL $TSLA All accomplishing the agenda of the evil elites.,0
"$TSLA very very dangerous precedent set today with pattern bleeding waterfall to close. spread too thin, raising more debt, RSI overbought",-1
$GOOG $AAPL $Pistol Pete$: Let's see $.001 tomorrow Go $COBI,0
$AAPL #APPLE $INTC $CSCO $GOOG $GOOGL $MSFT,0
iPhone ship times are dropping. $AAPL,0
Amazon $AMZN longs right now including MYSELF! We good... we good ,1
"Btw, Estimated #Earnings Per Share for $AAPL is $1.66 it's 1.68% of the current price",0
I accepted an offer at $MSFT @Microsoft in late Feb 2014...,0
So with the China sales out down 70% we now know why someone was  desperate to pump $tsla up yesterday. He purpose was to limit today’s damage. The strong up manipulation happens every-time there is bad news to be announced by $tsla.  What a joke is the trading in $tsla $tslaq,-1
"So overweight $AAPL that it just seems unimaginative to buy more here, but the price is compelling.",0
@Keith_Wasserman oh god stay away from $twtr and $box. They are burning cash and won't get more. Try $aapl $gild $nflx,-1
$TSLA trading up thru 277.67 the gap down this morning is a short term buy signal. Who knows what the Great Oz will say or do next to effect stock price but it is a signal.,1
"I'm back, I got stopped out $AAPL at 106.70 for a small gain of .59%",1
Certain to instill confidence in suppliers and creditors. $TSLA,0
#estate asset watch -volume leaders today:  $GE $T $BAC $NXPI $SNAP $TEVA $MU $MRO $AAPL $FB $AIG $TWTR $NRG $VALE $PYPL $TSLA $INTC $WPX $WFC $LPI $WPX $WFC $LPI $MRVL $GILD $CZR $MSFT $F $BBA $X $NOK $AKRX $DWDP $GIS $SPOT $OAS $CX $TMUS $IQ $AMD $JD $TWX $KMI $FEYE $CCK,0
$FB doing the $GOOG ER sympathy dance,0
@ZoptionZ $AAPL Looking Pretty Hot - Taking My 118 CALLS,1
$AMZN stock is going to 1000.  There is no doubt.  Why are you not long call options?  $QQQ $AAPL $WMT $BABA,1
"$MSFT AUG.24, 2018 C110 with 5,200 contracts..last at 0.6s",0
"$250 by the end of the day, would probably bring  some 'epic' tweets this weekend. No better entertainment than an unhinged CEO $TSLA $TSLAQ",0
"Me during summer 2019: Honey, FYI, bought a few hundred $TSLA shares.   Wife: Are you nuts?!Me:",1
Well at least something is making some sense $TSLA is $296 (should be $196),-1
#TeslaExecutiveDeparturesList update courtesy of @temp_worker's LinkedIn sleuthingHeadliners are 2 guys who were at $TSLA for AWHILE. Jeremy Snyder - Head of Global Business Dev & Special Projects (10 yrs)Dustin Krause - Head of Global Sales Improvement & Operations (9 yrs),0
$TSLA if this opens above $290 I'll be pressing the short,-1
Here's why Apple just raised $6.5 billion in debt — even though it's sitting on $178 billion in cash $AAPL,0
Short $tsla over the weekend with @elonmusk email at 191 price where he exercise his options at,-1
Aaaand the cult starts to eat its own. $TSLA,-1
"Makes perfect sense. Market wide open. Smart move @elonmuskTesla is looking to raise as much as $2.3 billion through a bond sale and public offering of its shares, the company said in a securities filing $TSLA",1
So uhhh... yeah... What's up with this $TSLA Grimes rumor?Has Grimes really not been seen in a month?,0
Lets Punch In Elon Musk's Corporate Headquarters. $BBRY $TSLA @elonmusk,0
$swks $aapl $mmm $wwav $dow @jimcramer #cnbc #madtweets #amidiversified ?,0
Long $TSLA Jan 2019 350 CALLS,1
New 52 wk high:Microsoft$MSFT 65.91,0
"3/Too many times I've had a $GOOG product rendered useless, forcing me to move elsewhere with my collected-throughout-the-years-stuff.",-1
"$TSLA working so well, hold",1
$AMZN  added some  MARCH8 $1685 PUTS @ $11.50 AS HEDGE TO REMAINING $1700 CALLS,0
"When you lay off 3000 people, a somber tone is appropriate.We knew that margins would be lower on lemur and SR. Nothing worrying there, especially in the longer term as efficiencies and lower battery costs will increase $TSLA's margins.It has $3B to deal with that 900M debt.",0
$TSLA Sales will be release in the form of emojis and anime pics at 4:20 pm.,0
"Ouch man, after that $aapl news after hours. ",-1
$TSLA would not be surprise to see it trading at around 217 soon.,0
"$AMZN might go southwards another +100$ before it takes a U turn for a rebound- imo it means slightly more bleeding till this mayhem stops. Hopefully, it reverses before as Pfizer and some big names report better than expected numbers and couple of upgrades.",0
We are seeing why there was such a huge onslaught of negative $TSLA press in past couple months with stock <310The 'resistance' KNEW it was last chance to try kill the stock technically before #s and reality took over,-1
$SPY is on a slippery slope down but $AAPL is holding onto its support by its fingernails.,-1
R/R is there for $AAPL calls,0
$BA $AAPL party this morning,1
Fed and earnings helping equities so far. long $msft $aapl $sq from yesterday. $dis making a reversal here added this morning,1
How $googl can convert your voice from one language to another in future no #jobs for translators,0
So many tech analysts are circling the bandwagon with FANG again in 2019 as their top picks.$FB $AMZN $NFLX $GOOG,0
In the sea of green $TSLA bulls insist on holding on to a sinking ship. But the captain says Titanic will colonize Mars!,-1
$AAPL  iPhone Xs for me. #AppleEvent⁠ ⁠,0
So is $TSLA just not releasing their Q1 delivery numbers at all? What is going on here?,0
$tsla $tslaq @elonmusk We are eagerly waiting for your #modely and #ModelTruck Preorder now for the whole familyOnly $16.99 400k reservations,0
"so as news came out, grandpa @WarrenBuffett is still picking $AAPL whenever it dips...grandpa you are awesome~ $C $GE $F $FB $AMZN $TSLA",0
Bit of a topping tail in $aapl.....,0
$TSLA ru ro. $AAPL with enough cash to buy every car company in the world.,0
Apple: Court order violates 1st Amendment #AppleVsFBI $AAPL -,0
MOMO hitting wall intraday? $NFLX - 128 / $TSLA - 200 / $NVDA - 116,0
"When a company doesn’t find a way to fully satisfy a vocally disgruntled customer, wronged in many ways... it is obvious this is either 1. willful ignorance of customer treatment2. intentional punishment of customer for speaking upKnowing Elon I assume it’s both. $TSLA $TSLAQ",-1
"If he wants to raise money, he will find a way. thats how the capital markets operate. that little ""nugget"" of fact is papered by assumptions and clauses that you don't understand.",0
JP Morgan Admits it Knew Convicted Nigerian Ex-Oil Minister Linked to OPL 245 - THISDAYLIVE  $GLD $XAUUSD  $TSLA $BARC $LYG $JPM $C $GBTC $SQ $AMZN $COIN $aapl $spy $nflx $nvda $mu $OPEC $USD $JPY $USOIL $UKOIL,0
"Yeah, and the anti-Tesla forces have the entire rest of the media. This is what happens when $tsla does not buy ads.",0
"#TradenetIndia [Picks] Analyst Scott Malatesta: $NVDA, $BYND, $HD, $VFC, $BA, $LOW, $ROKU, $QCOM, $TSLA, $BABA, $TGT",0
$AMZN is annoying.,-1
"RT $TSLA HFT Algos triggered SELL in SIGMA-X, CROSSFINDER, ATS, LX @ 10:37, P/T 195.00 #Quant $MSFT $TWTR $GOOG $AMZN $AAPL $NFLX $FB $QQQ",-1
"The $TSLA Model X SUV gets 237 to 295 miles...which costs $140,000",0
"Right, but you don't just roll over into the Fidelity fund (which holds other assets as well assuming SpaceX comp). You have to divest from $TSLA than take a diluted, passive stake in a Fidelity fund, not exactly retaining your stake in the company.",0
"Tesla 'Cyberquad'?  Not only fictional, the frame was ripped off from Yamaha.$tsla",0
Mozilla is funded by $GOOG. #NetNeutrality,0
$TSLA Model Z at Costco will turn things around for sure,0
"""The service center was not helpful this AM and told me to find a body shop."" - $TSLA #model3",0
$AAPL - There Is Much More Room For Apple Pay,1
"Elon Musk reveals Tesla Model 3 dual motor, AWD, performance version specsMusk promises a performance model with BMW M3-rivaling specs -- including 0-60 mph in 3.5 seconds and 310-mile range -- along with easier servicing. $TSLA",0
$AAPL thinking about the service-side of the autonomous car space...$TSLA,0
"The market bottoms when there is overwhelming fear & frustration. Maybe this whole 10-year shenanigans will be the market's gift.. Yet, a not so obvious ""gift."" $qqq $spy $amzn $twtr $fb",0
$TSLAHey @elonmusk!Do Meme Review!!!,0
All those cars sitting in lots represent so and vendors payable not turned into cash do to failure to execute either failed logistics or weak demand. Either way it is trouble for $tsla $tslaq,-1
"What are you most grateful for, @elonmusk? The gullible customers? The gullible employees? The gullible public?  The gullible cult?  The gullible regulators? The conniving WS crap-bags who wink at your broken business model & keep the $TSLA bubble inflated?  #HappyHeartburn",-1
Burn Hollywood burn I smell a riotGoin' on first they’re guilty now they're gone$TSLA#InsuranceSecured,0
Bad things always happen when political talking heads decide they’re also going to be market analysts.@IngrahamAngle is the new Dennis Gartman contrarian indicator.$SPX $SPY $ES $ES_F $FB $AMZN $AAPL $GOOG $TWTR #TradeWar #MAGA,0
"Dec 24 Monday, $TSLA LOW is $295.70 and hit Bearish targets $313.91$311.86I'm finished with this one ",-1
"$TSLA production still not 7k/wk, not to mention the famous 10k. SX production down from last year... is this still a growth story?  $TSLAQ",-1
"$TSLA -The hysterical media makes #Tesla #ElonMusk look like #ENRON-Gimme a break! Screw the SEC - Freedom of speech vs no SEC guidlines  -Maybe TSLA breaks support but if they bring in a #Mullaly type Chair the name will rocket,-I am waiting to see how this plays out.",0
Absolutely - $TSLA follows pretty religious TA but have to honour it or you get whacked either way- so far a nice fake pop above 332 to 335 now back to push it thru 330,0
Can you tell me the last time ford actually grew sales or innovated anything new but a gas guzzling F150. Ford is the joke. $f vs $tsla,-1
"Sold $AMZN, $NFLX. Going short on $AMZN now.",-1
".@SalimMorsy @tsrandall for success, $TSLA (Motors) simply needs to execute its business plan; $SCTY is still working on a new one...",0
"$BABA  Support at 10MA on monthly chart. This is not an point easily broken. If falls below, going to 50% retrace 84.4  $FB $TSLA $NFLX $BAC",0
Azeila Banks: @elonmusk please don't kill me :( $TSLA @AZEALIABANKSNYC @entylawyer @Grimezsz #whereisgrimes,0
Getting some $oil $ugaz $rig $sdrl $cld $mhr $nbr & holding 50% cash = possible push lower in oil. ( $spy $gdx $xlf $free $ung $aapl $rgse,0
"$DMHI Stock Forum Updated Tuesday, January 19, 2016 9:41:23 PM $SEE $HCTI $TRTC $AAPL",0
"Even I was thinking to put in $AAPL, $MSFT.. anything else on your mind for pontetial plays other than this?",0
"$AAPL, change of guard????#Cook to go...?",-1
"""Bottom line: Social Capital appears to be done, at least as a major venture capital investor.""$TSLA $TSLAQ",-1
"I agree, and more power to Tesla for putting on the pressure & pumping $TSLA stock 'til the big guys noticed. But for an actual transformation of the global automotive industry, the e-tron & i-pace & ECG have to SUCCEED & they won't b/c EV fans love Musk more than the planet.",1
$FIT agreed!  Has anyone seen the $AAPL watch?! Is the competition that stuff?! ,1
#estate asset watch - price volume leaders - $NVDA $AAPL $AMZN $FB $SYMC $BABA $MU $XOM $WTW $MSFT $BIDU $BAC $NFLX $TSLA $TTD $CSCO $JPM $ADBE $VZ $REGN $TWTR $VIRT $AMD $BRK $GILD $GOOGL $PG $JNJ $CRM $SQ $WMT $BIIB $ABBV $ABT $MA $EA $MGM $DWDP $PFE $ROKU $BA $PYPL $HD $DLTR,0
400 miles and will be available a lit bit after 2021? here’s my prediction: 202x! $tsla,0
Someone in this capital structure is wrong.  $TSLA,-1
"$TSLA Using the over extension to roll previous trade and increase size. Selling put, Strike 160, June 14 for 3.55. 33% annualized return and 80+% prob of being profitable",0
$TNDM still want higher out of the gate to add puts$ASND if this holds over VWAP past. probably good range here$TSLA Hopefully squeeze a little in the morning then lower$W watch for topping action to add puts,0
$AAPL - 300% MOVE HIT - BIG BIG WIN - WISH I HELD EVERYTHING - MOVE STOP LIMIT LOCK IN YOUR PROFITS -  ,1
$AAPL finally looks ready to close above 50DMA. Would be first time in 3 months.,1
"@grassosteve and @timseymour both said they bought $AAPL recently, both for a short term trade and long term investment - @CNBCFastMoney",1
"Clearly, if you aren't waking up every morning, looking in the mirror, and asking yourself ""How many shares of $AAPL can I buy today?"" you're just un-American at this point. LOL",1
$TSLA about to get into ride-sharing and autonomous driving and it's trading at 2.1x EV/Revenue with $3.7BN of cash on hand. 26% short interest; 32.7M shares,1
@elonmusk do the apples to apples test @Ford ( $F vs $TSLA battle needs to end ) wants to do y’all working with each other could change the truck business for the better,0
"$AMZN --- WE NEED YOU TO GET BACK TO $2000, WHICH YOU TRULY DESERVE!!!!!!!!!!!!!!",1
This is one reason to sell $MSFT,-1
"some say ""240=260's"" again....what say you? $TSLA",0
A new daily low at $1148.19 was just reached for $GOOGL. Found with MOMO Realtime Stock Discovery & Alerts.    #GOOGL,0
Full respect to Toni S from Bernstein.Great questions bro.$TSLA,0
Down 5 from this post $TSLA,-1
"""healthy rotation"" $FB $AAPL",0
I dunno what it is with $TSLA ( $TSLAQ imminent?) that makes people forget numbers need context. So here's some: best case estimates for Tesla 2Q19 equal 12 days of US-only Ford 1Q19 sales.,-1
$GOOGL strong bull move on 60 min chart. Nice reversal play today. Expect a big move Friday Jan12 like what $AMZN $FB $NFLX have done.,1
can you actually believe i made money on $msft and $nflx on long side lol.,1
"Weak stocks for trading on May 22, 2019 $QQQ $SPY $IWM @tradealike #success #trading #options #stock #investing  $CI $MPC $SPOT $DDS $BIDU $NVDA $GRUB $LYFT $TSLA $RH",0
There is still good in this world. Thank you. $TSLA,1
Relative Performance of Strong Stocks vs $SPX Visualization of rate at which they are rising $AMZN $GOOGL $AZO $ISRG $CMG $GWW $ILMN $HUM $ANET $UNH $ANTM  $COST $BRK.B $AAPL $QQQ $SPX $IWM #success #trading #options #stock #investing,0
Is this Tesla bear getting prepare to get burn after “Legend” @MontanaSkeptic1 AKA Larry Fossi toasted. U guys did some shady sh!t behind? Why so scare? $TSLA #ChainReaction,0
Canaccord Genuity Starts Microsoft $MSFT at Hold,0
"The short/FUD war is the only reason why $TSLA is a problematic investment, in that sense fossil fuel and legacy auto makers get what they wanted I guess, but Tesla survives despite that and is on the best way to following the Amazon success story.",1
"$TWTR Periscope growing 100% per CEO, and now a drone patent. Is double bottom in on the bird? $GOOG $FB",0
$TSLA Oh the sounds of angels sing.,1
"RT @realDonaldTrump bit the hand that fed him...Consumer confidence hits 120.2 in January, vs estimate of 124.9 $QQQ $MSFT $GOOG $AAPL $AMZN $NFLX $TSLA $TLRY $FB",0
Today's million dollar CALL #options trade:$AAPL $BYD $FB $GOOG $MU $NFLX $RY $WMT $X $FCX $GM ...,0
"""Isnt that cool?"" Asks ther presenter.. But, why is the $AAPL watch necessary is possess an iPhone?",0
"Tim, life savings in $TSLA at $270...do it #retirementsecured",1
$TSLA has $300 print all over it this week.,0
Reuters: Google proposes €270M-€280M payment to settle tax discord in Italy $GOOG $GOOGL,0
$AAPL That's the bottom for the week,-1
The sad thing is that US regulators @SEC_Enforcement @SEC_News @TheJusticeDept @FBI are feckless and $TSLA auditor @PwC is complicit. Musk and $TSLA can make outrageous and false claims to keep the Ponzi going and there are consequences.  Could continue going for quite some time.,-1
"$AMZN Price manipulation Analyst quietly gave low estimates so when reported it appeared blowout , but in fact it was just in line with LY",0
"I said it the other day & I'll say it again: $TSLA is now just an unprofitable car company that has to ""move iron.""",-1
Think $AAPL is running to 105-106 without a single pullback? I'd rather buy 99 area optimistic,0
CEO's going through divorce. Never good for the stock.And things aren't even ugly yet.$AMZN $WYNNAmazon CEO Jeff Bezos announces divorce from wife MacKenzie after 25 years of marriage. #Amazon #AMZN #Bezos,-1
As long as $aapl & $amzn up Btfd in $qqq & $nq,0
"Today, Elon Musk says he discovered inventory. Next week, he will say he discovered how important subsidies are to $TSLA after all.",0
You just need to close your eyes and believe. $TSLA,1
"$TSLA-bear-twit is the best twitter. Much respect to all contributors, large and small.",0
"$AMZN XLY, DIS, CMCSA, AMZN: Large Inflows Detected at ETF",0
$AMZN how’s the trade talk going to go well when. Tariff isn’t going to be removed !?!?,-1
THE CHART SHOWS NOVEMBER 1 IS THE ‘MAKE OR BREAK’ DAY FOR THIS STOCK MARKET $FB $AMZN $AAPL $FDN $NFLX $GOOG $AKAM $TWTR $AVGO $MU $SWKS $QCOM $QRVO,0
He got one thing right. Nobody gives a shit about Hannah Montana Skeptic. Not even the $TSLA shorts ,0
"$spy $dia $qqq omg, all this to lower tariff on US cars....nobody wants american car except $tsla(in China ahead) #lol Xi must be laughing.",0
$AMZN trading signals (61%/61%)Average sentiment: 0.37(439)T-0: BuyT-1: BuyT-2: BuyT-3: BuyT-4: Buy,0
$PTX next $LEI ??????? Morgan Stanley news just hit  $PTX low floater$LEI $KBIO $DDD $TSLA $TASR $SSYS $CMG $PBY $AVXL $DGAZ p,0
$TGT -20% $aapl sales could just be a tgt issue not aapl issue. need context of other competitor slices too.,-1
Maybe--just maybe--iOS 9.3 complaints were blown out of proportion.$AAPL,0
"APPLE MANUFACTURES ITS FIRST IPHONE IN INDIA, INDIA'S IT MINISTER ANNOUCES",1
"Let's be honest Icahn is the greatest investor ever, he loaded up on $AAPL, Apple at the bottom where Buffett loaded up on $IBM at the top",0
"@kiwitrader24 Now the daily buy $AAPL news. It will be dark 2nite, one ANALyst says buy aapl.",-1
$AAPL trades at just 9 times free cash flow.,0
A new daily high at $360.98 was just reached for $TSLA. Found with MOMO Realtime Stock Discovery & Alerts.    #TSLA,1
via SwatOptions: $AMZN Mr.B  $amzn,0
Big ER’s again this week $AAPL $AMD $GE $SQ $SPOT $GOOGL $CVS $SHOP $MA $QCOM $MCD $TWLO and more,0
@jimcramer I'm impressed $AAPL free cash flow of over $50 billion! $AAPL is a stock to own!,1
"@elonmusk just letting you know $TSLAQ is here for you bro, just have to reach out $TSLA",0
Millineals havnt got out of first class yet to check their student loan money they put in $tsla .or $qqq..lol ..,0
$AAPL $GOOG $GOOGL Apple Inc. and Google Inc Software Assist Terrorists: DA REPORT (AAPL) (GOOG),-1
Thought experiment: imagine what a different place $TSLA would be had it been run by Herb Kelleher instead of Elon Musk. Attached excerpt from @washingtonpost's obituary.,0
Congrats to all $TSLA holders except the Pedo’s and shorts.,1
heads up $AAPL !,1
$aapl #aaple215 sounds like a reasonable top here based on 0.786 retracement from the 140s low,0
"By the way, the risk to $TSLA is severely to the DOWNSIDE.  Among the 420, SCTY and ""Model 3 guidance"" lawsuits there could easily be $1B of settlements, wiping out any FCF for both 2019 and 2020. And myriad other potential suits (Autopilot, for one) and recalls would worsen that",1
What's that kind of argument???Porsche built their first electric car in 1898. How many decades is THAT until Elon came along???  $TSLA,0
Headlines that $AAPL is gonna give back “$300-$400 billion” over the next 3 years. They’d need to go into “actual” debt to do so and I’m not sure they like that idea.,0
4 weeks? Lucky.#model3refund  $tsla,0
$AMZN potential daily body bullish engulfing if close here or higher.,1
