id,body,label,sentiment
38,"In a wide-ranging episode of Limitup!, Eddie talks with @davidmoadel, Chief Analyst and Opportunity Researcher for Portfolio Wealth Global about 2019 market direction and everything from the likelihood of a near-term recession to retirement planning in the current market.",,0
39,"Unless you think the main market has maxed out, $TSLA back under old resistance of $280 seems extremely difficult.",,-1
40,On vaporware and pathological secrecy at Theranos...$TSLA,,0
41,Was the FSD the reason for the accident?$TSLA,,0
42,$AAPL sharp spike down. Now trading at $96.18 pre-market,,-1
43,We're putting on a bullish trade in $AMZN via BPS,,0
44,$amzn cover entire short @ 768.80,,0
45,Stocks making the biggest moves premarket: $TSLA $CBS $AAPL $BABA $AMZN $CPB $SNAP $RIOT $URI,,0
46,"“...the road ahead is very difficult,” $TSLA CEO @ElonMusk told employees earlier this month, amid a 7% cut to the company’s workforce. On Wednesday, investors will get their first look at what that means for the carmaker’s bottom line.",,-1
47,"Thanks Ed and nice work, $TSLA had a nice squeeze and run. Glad it's the weekend so I can clear my mind. Enjoy the weekend as well, finally getting some good weather!!",,1
48,$AMZN - fly baby fly !,,1
49,"@danahull how many direct reports does Musk have?  Seems well in to the double digits, > 20 definitely, > 30 probably.  And that’s just at $tsla.",,1
50,"Has the Oracle of Omaha invested $MSFT, $GOOG, $AMZN, $NFLX? NO! He invests in long term, but do you think Apple will still make iPhones in 10 years time? I am not sure we will need a phone in 2028.",,-1
51,"Seriously, what do you think will be $AMZN 's Black Friday numbers with all the new jobs in the last few years?  My guess is some awesomeness.  $10 and $14 Quarters are coming hard and fast. $AAPL is going to do extremely well this Christmas...so you know what it will mean for $V",,-1
52,"Join @RobinhoodApp and we'll both get a stock like $AAPL, $F, or $S for free. Make sure to use my link. #FREESTOCK #FREEBIE #FREEMONEY",,1
53,In face more departures/another likely ugly print $TWTR holding rel well as #immense strategic value $AAPL $GOOG $FB $MSFT $DIS etc vivid,,-1
54,Think social media is jinxing $AAPL w the trillion dollar market cap calls?,,1
55,$TSLA Anyone think about JRE / Joe Rogan effect? Jordan Peterson was largely launched by him. The most influential media in the world. About to have Elon Musk on thursday maybe. 100s of millions will be reached and Joe is a huge fan of Elon. Priced in?,,1
56,"Wtf! If aramco was a public company, I’m curious what would have been its market cap! Clearly in the trillion! #stocks #investment #investing #aramco $aapl",,-1
57,Interesting Large Sweeps & Blocks! $XLF +14.2M Block PUT$UVXY +7.4M CALL Sweep$TSLA +2.7M Block PUT$TLRY +1.4M Block CALL#Options #FLOW #GOLDBARS #Scanner#RampUPTrading,,1
58,"Short Bonds $TBT up 3% on day now.  +24% past 3 months Money flowing in and out of $TLT big time.  $UUP, $SPY, $AAPL",,-1
59,"2/Apple will never buy $tslaThe DIP lender will end up ""owning"" $tslaq .... if it's not a liquidation.",,0
60,Earnings are very crappy wow. $V $SBUX $GOOGL $MSFT,,1
61,"Macy's doesn't have the brand power, margins or raw volume of $AMZN in the eCommerce arena. Futher pain to come.",,-1
62,Good. $TSLA is a certified investment scam just like $AMZN.,,1
63,$AAPL has been rising so much the past two days. Sell All Stock!,,-1
64,"following $AAPL earnings report from 25K ft, Twitter works best with limited WiFi",,1
65,"I agree. Btw here is a classic $TSLA  response to any hint of disagreement (not all s are like this, but a lot are)",,1
66,$AAPL $BABA Among Top 10 Stocks For The Next 25 years,,1
67,$AMZN should you daytrade tis stock?,,0
68,$TSLA trading right up to our price target from earlier in the week - $271. Predictions made easy,,1
69,"no, shut it down, $TSLA, Im spitting mad, rolled up again, decisions came 5sec's later, roll to 370P to 385P, then shut down, 290/385 inverted strngl $12594db, a $1836 loss, done for now@TraderNickyBAT @Tomunderwater @Tony_BATtista @TFMTrades @tastytradar #tastytrades",,-1
70,"Leaders continue to be punished, today $AAPL turn.",,0
71,$GOOG Weekly -- Monday test of 38.2% weekly Fib.,,0
72,add in the sus other parts of what was learned today (employee NDAs etc) which is mostly just $tsla being $tslaq but jeez things are not good in fremont.,,1
73,Of course $AAPL #iPhoneX orders are weak @CNBC @CNBCJosh - Virtually everyone we know or met is bored with it & has closeted buyers remorse $QQQ $GOOG $MSFT $SNE,,-1
74,We'll find out soon bruh $tsla,,0
75,"To give context (and each case is different) $JNJ #Acclarent DOJ subpoena was delivered in 2012, grand jury in 2014, executive convictions 2016. They're currently appealing for a new trial 2018.Years, not months. $TSLA #Tesla #TheSociopathicBusinessModel",,1
76,"$AMZN post-market 30 Oct update ending 5 waves up from 1618 low and pullback can find support in 3, 7, 11 swing #elliottwave #trading",,0
77,"I really don't get the @elonmusk haters. If you've shorted $tsla, and lost $, suck it up. Don't take it personal.",,1
78,Will keep Model Y manufacturing cost down. Very wise for Tesla to share many parts with Model 3. They learned their lesson and will sustain greater profitability! $TSLA,,1
79,"Mr. Asshat generally makes about 5k/day messing around. You might benefit from not making yourself look stupid. I also bought $TSLA under $40, but I’ve made more money on $TSLA puts in the last year than I did buying stock. @AsshatTrading",,-1
80,"Teslemmings are also Teslatools.No bro, wasting $60k on @elonmusk's garbage Model 3 didn't make you special.$tsla $tslaq",,0
81,"just shorted $AMZN in anticipation of Trump supporters boycott, stock is already down $9.00 today. Thank you Jeff, I will give profit to DT",,-1
82,"The Lidar and maps angle is never going to work, period!@Tesla has chosen the hardest route. Teach software to drive. Thing is, it's the ONLY route! It's a total goddamn bastard of a task and will take at least another decade but it's why I buy $TSLA!#TheFuturesAlreadyHere",,-1
83,"Gram Car Carriers have run a 8 day route from Zeebrugge to Scandinavia & GB, carrying $tsla cars. I'm now surprised to see no Gram ships are scheduled for Drammen anymore. No $tslaq arrivals in Norway this week to my knowledge then. Strange.@fly4dat@temp_worker@TeslaCharts",,1
84,Is $150 in the near term cards for #Tesla?  $TSLAQ $TSLA,,1
85,$AMD $MSFT ,,0
86,"3) Is it true that your employees have to ""fight for what is right"" and that your customers are starting to view your company as a ""sham"" $TSLA $TSLAQ@FTC",,1
87,"Why don't you release it NOW, before Tesla gags YOU? Seriously, they will do everything they can to get to you! Maybe get a lawyer a.s.a.p.... @StuartMeissner is handling two other Tesla whistleblowers and knows the situation well!",,-1
88,How in world does this square with falling demand for the cars?$tsla $tslaq,,0
89,Big losses to come for $AAPL by the end of this week,,0
90,$GOOGL Inside day. It held the gap as support.,,0
91,skeptical prediction that $aapl will head for 105 if it closes below 114.50 tomorrow,,-1
92,I love watching stock charts right after a company announces earnings. $AAPL,,1
93,#Musklies   He sold this Oct 2016   Claimed car were equiped  Collected $$$$  Now apparently the FSD cars needs lots of stuff that was not on those cars in Oct 2016Consumer protection agencies perhaps should get on board with @SEC_Enforcement $TSLA,,1
94,Video Lesson | Level 2 Time and Sales and Tape Reading | $CATB $OCRX $AUPH $IMMU $PRKR $SNAP $DRYS $FB $AAPL $VRX,,0
95,I'm so old that I remember when a software update didn't require your credit card info. #iOS $AAPL #GetOffMyLawn,,1
96,"As of 8:15 a.m. here on 12/10/18. If you order a Performance AWD Model 3 in Any U.S. Region. LR AWD or MR RWD in the Western/Central Regions, $TSLA says you'll receive your vehicle before the end of the month in 21 Days. #UnlimitedDemand #NoBackorder",,0
97,$TSLA now 351 needs strong build and can see 355,,1
98,"NTSB Absolves Tesla's ""Autopilot"" In Death Of Former Navy SEAL $TSLA",,0
99,"$AMZN Prime membership has reached 85M members in the US, which represents about 63% of all domestic customers on the site",,0
100,$AMZN every 30 min there is a neat and orderly selloff of about 2-3 bucks. Too orderly for Fear I suppose. To scripted. Price too low lol,,1
101,$GOOGL Open Interest for today (08/24/18),,0
102,Alibaba earnings tomorrow morning. $BABA has lagged $AMZN this year. Will that trend continue? US-China trade tension could be a problem.,,0
103,@JustinPulitzer @glens13 $AAPL seems heavy today,,-1
104,"3) This means that even though $TSLA achieved over 7K/week in output during Q3 on record deliveries, Pana isn't getting the returns originally expected, possibly only half. So still no return on investment.",,-1
105,Just think of how well off you'd be if you bought every single dip this week without question? #norisk $ES $SPY $SPX $NDX $QQQ $AMZN $AAPL $VIX,,-1
106,"$NFLX $BKNG $GOOGL $AMZN this options market is rough, gotta hit and run. Premium burning fast.",,1
107,$tsla 348 seems to be the logical step,,1
108,$TSLA 315-322 coming soon!#FAANG looks like slowly giving back todays gains!$NVDA $FB $AMZN $GOOGL $NFLX $QRVO $NXPI $ESRX $ANTM $CLX $GM $K $YUM $SPY,,-1
109,@craigdoescher $tsla $tslaq #TeslaWhat first convinced you to short Tesla?(4 choices or reply below),,1
110,$SPY $QQQ $FB $AAPL $AMZN $NFLX $GOOG $VIX,,0
111,$aapl report's after the bell on Wednesday.,,0
112,...the company announced this week that it will drop all other clients ... to focus on ....the Model 3... worrying the workforce. $TSLA,,-1
113,@CNBCFastMoney @BKBrianKelly has not own $AAPL.  So it is BS that he says to sell at $115. The other guy's sell at $120 is also baseless.,,-1
114,Current run in $EURUSD signals is  $EUR $USD$SPY $SPX $UBER $PINS $LYFT $TSLA $BYND $TLRY $NVDA $AMD $QCOM $TGT  $BA $GE $WMT $M $AAPL $FB $AMZN $NFLX $GOOGL $SHOP $TTD $BTC $LTC $CGC $TLRY $NIO $DIS $ROKU $WTI $CL $ES $NQ $BYND $CHWY $CZR,,0
115,"I find it funny that 5 years ago Ford spent billions moving the F150 from steel over to an aluminum body, and now Tesla, having built 100s of thousands of aluminum-bodied vehicles, just released a stainless steel truck.",,1
116,52 week high & volume above 3-mth avg: $TSLA $WYNN $JD,,1
117,All in zt $AAPL 5/17 197.5c 195p for catalyst China's retaliation for increased tariffs but also for US attacks agianst Huawei. Just make sense and proportional and justifiable. $SPY,,0
118,$TSLA ready for storm in Shortsville,,1
119,#Samsung recalls #Galaxy Note 7 phones after #battery #fires | $005930 #smartphones #recall $AAPL #iPhone,,0
120,Now you fucking Tesla bulls. Which one of you suckers bought at 375 $tsla huh. I sold to you. You better hold the bag tight. Not covering until 0.0 You fuckers constantly teasing me all week.,,-1
121,Can #grocery stocks stay fresh as Amazon enters the market? $AMZN $WFD $L $MRU #retail #RetailApocalypse $WMT #biz,,1
122,"My long term $TSLA holders what are you thinking? Do you buy the $250 break higher from below when it happens, or buy the higher consolidation from the rejection that occurs at $250 (my thinking). I.e tests 250, rejects, retraces to mid 240s, consolidates before break of 250 ",,1
123,"$AMZN if this company could do the impossible like operate a series of popular Amazon Hotels, bars/restaurants why own any other stock?",,1
124,"1st test support for $TSLA will be 190 , if that fails could be looking at 158-160",,-1
125,"$AAPL *APPLE MACBOOK PRO W/ FASTER PERFORMANCE, NEW FEATURES FOR PROSSAYS MACBOOK PROS PRICING STARTS AT $1,799 FOR 13-INCH   MACBOOK PROS PRICING STARTS AT $2,399 FOR 15-INCH",,1
126,"My average short price is 316 so .  And $tsla has trailed the Qqq over last 4 years, performed in line over last year. Hasn’t been great for a long time for either Longs or shorts, likely not a material difference maker in either’ portfolio. If you’re up big, kudos to you.",,1
127,@stacEightTweets because companies like $WMT and $AMZN refuse to sell? That isn't what a ban is. Simply companies dropping a toxic product,,0
128,$CMCSA $AMZN - Comcast set to launch Amazon Prime Video on Xfinity platform,,0
129,$MSFT every day of selloff provides another day of opportunity.,,0
130,$TSLA Baggie Gifford are completely off their rockers letting their guy use clients money to keep propping this crap up,,-1
131,$LB Anyone else noticed how much analyst action there's been the week of Rosh Hashanah. These things are not unconnected. $ES_F $AAPL $CLF,,1
132,$AAPL up $6 on great volume.,,1
133,$TSLA Need to hold 304+ just a little longer,,-1
134,$AAPL when is blackout period ends?,,0
135,Apple's $233 billion cash pile is bigger than the GDP of 150 countries. $AAPL,,0
136,$amzn just relentless lol ..,,1
137,$TSLA “Model 3 Gross Margins Should Expand Significantly To 15% In Q3 And ~20% In Q4 “,,1
138,$GOOG - The Only Legitimate Competitor to Google Maps and Apple Maps Just Went Up for Sale,,0
139,"$AMZN $GOOGL chart looks good, could see a big move this week",,1
140,"It's likely that #Model3 productions will be way low again. They probably will announce 10 car per day production for Model 3, $tsla",,0
141,The right path forward to explaining @ARKInvest @TashaARK  and like why $tsla $tslaq is $4 and NOT $4000 is,,1
142,In which the $TSLA Gigafactory becomes the GigaWhiteElephant high-cost producer...,,0
143,"$AMZN #S3 outage - i wonder what the economic cost is lost opportunities, contracts, ads served, traffic/impressions, ...",,1
144,Long $TSLA to 310 by May 2019?,,-1
145,$GOOGL weekly $1k Puts + 800% @sanglucci,,0
146,$TSLA - New Retail policy:  we will actually open more stores if needed.   What a genius plan!  I think this was actually part of the 10-K released on 2/19.  So confusing!    $TSLAQ,,1
147,"$TSLA @Tesla fans debating delivery numbers take note. Increasingly, Tesla is shoving a lot of their lemons out to the fleet folks. >$1B in AR can be a lot of Model 3s. These can't be tracked easily by outsiders like us. Example of small fleet sale:",,1
148,Hahahaha my alerts going off $AMZN BEASTING,,1
149,Inflation worry is a joke at that point Commodity break their uptrendJanuary was the peak for Commodity and it will be the peak for inflation I buy that stupid #CPI dip $QQQ $BIDU $NVDA $AAPL $INTC $STM,,-1
150,$GOOGL back under the 50dma for the first time since May ,,1
151,#Dow22k on Apple results beat tomorrow? $AAPL RO,,0
152,$tsla that was a strong comment by a green activist. Very well said.,,1
153,Google launching new VR format VR180 $GOOG $GOOGL,,1
154,$AAPL took WTI down with it #OOTT,,-1
155,Looks like a repeat short at 344-45 with the same stop (348) would have worked today too. But missed it :(..  $TSLA,,-1
156,"Popular: $FB, $ACIA, $GOOGL, $JNUG, $BZUN, $ARLZ, $SYMC, $MNK, $NE, $HZN, $NVAX, $EW, $XIN, $MRK, $TQQQ",,1
157,valuewalk: $TSLA   Cowen Integrating SolarCity; Trimming Price Target to $155  reit OP,,0
158,$AMZN long$LULU for downside$NFLX for downside$VRX lottos$BIDU for downside after big warn and up $SPy $SPX,,0
159,Microsoft shares surge after Morgan Stanley predicts it will reach $1 trillion market cap in a year $MSFT $MS $GOOG $AAPL,,0
160,"The psychosis in the Tesla bull camp is off the hook. Anyone, the WSJ or one of their own fanboys (Fred), saying anything moderately bad about Tesla is considered evil and short seller FUD. $TSLA",,-1
161,"$SPY $AAPL    Cramer now became a TA pros.    There R hundredssssss at ST and twitter !!  We need someone to go over the BIG PICTURE of the GLOBAL mrkts !!   Next important catalysts that will drive mrkts, stocks .  1  2  3  4  5 !!",,1
162,$AMZN Amazon is great,,1
163,"As traders its our job to interpret the trend up/down. but I can't stand peeps who just make silly statements, stock gonna drop 40% $TSLA.",,-1
164,"I have not come across even one $JD bear.The bull case seems so simple n easy. They are early stage $AMZN of china. Just buy n hold.Things normally are not so simple, are they?",,1
165,"Apple Inc.'s 6.46-Inch iPhone X Could Be a Huge Seller @themotleyfool #stocks $AAPL, $SSNLF",,1
166,23 months since this gem. An unbroken string of checks that he can't cash.$TSLA,,0
167,So the question-considering the looming stock sale-is if $TSLA will give honest Q4 guidance @ Q3 earnings release. Probably not,,1
168,Doesn't seem to be filtering to the media. $TSLA,,0
169,"Link tax may shutter Google News in EU $GOOG, #GOOGL",,0
170,$AAPL steady moving higher.....,,1
171,$AMZN The 1702 target was a nice entry point for a bounce. As i have said before targets usually are exhaustion points for the trend.,,1
172,"If I ran a $TSLA PR flack blog this would terrify me, as it means my looming competitors are willing to sell great cars against me at a loss",,1
173,$FB and $AMZN both reclaiming their rising uptrends.,,0
174,$FB $NFLX $AMZN down more than $AAPL today ( % wise ) and without a Dividend. Samsung just got shut down on the Galaxy 7 $AAPL up ?,,1
175,"Barron's Picks And Pans: Nordstrom, Pinterest, Take-Two Interactive And More $JWN $PINS $TTWO $AAPL",,1
176,$AAPL $BABA $FB Bloomberg breaking news: China Trading Halts Leave 43% of Entire Stock Market Frozen,,0
177,"Now family bugging me for Gold MacBooks to match their iPhones - I'll take 5 please Beautiful, Sexy, Thin and Sleek. Amazing $AAPL MacBooks",,1
178,are you holding $googl 1150c for tomorrow?,,0
179,in some next week june 50th YELP 50c  and in june 60c (buyout lotto)$SPy $INDU $YELP $GOOGL $BABA,,0
180,ICE Companies?   Mary Barra is in on this?!?  Who is going to play Barra in the movie?   $TSLA $GM $F #ListenAllYAllitsasabotage,,0
181,"you guys gonna do a $googl report, its still a top pick i think thanks",,1
182,"A friend of mine was at Hong Kong  for a few days. And he said that Kirk everybody there has a #tesla $TSLA Either the truck or Sunday, or whatever other vehicles they have. It was extremely common to see a Tesla. I found that interesting.",,-1
183,$amzn bezo gives no F's,,0
184,This is gold! $tsla Jim Cramer totally hung live on tv,,1
185,Church of Disruption. $Tsla Baggie Style!,,0
186,$TSLA is working on a handle/gap up U-turn after a strong 2-day move post earnings. Look for upside follow-through above last week's high.,,1
187,Can you make $AMZN rip to 1724+ ? Thanks,,1
188,I’d rather not just give my money to $AMZN but the @Foyles near my work says that it “might” take 5 days to get the book I want and the @WHSmith that’s on my way home said I can’t order a book while I’m in the shop because they don’t have internet (!) so my patience is fading.,,1
189,"Listening to $GOOG + $GOOGL earnings report. Google is an ads and currency hedging company more than a tech company, per se. :p",,1
190,Big calls: 1. Tilson thinks that We Work eventually goes bust.2. Fannie Pref and Common are a great value3. Amazon $AMZN is largely done with huge growth capex. He sees profits soaring on 5-6% retail margins,,1
191,"RT $AAPL HFT Algos triggered BUY in SIGMA-X, CROSSFINDER, ATS, LX @ 07:54, P/T 115.00 $BIDU $GPRO $AMZN $NFLX $FB $GOOG $TSLA $QQQ #Quant",,0
192,"I bet many would be surprised that $CHD has outperformed $AAPL since the latter's IPO, 17.63%/yr vs 16.81%",,1
193,Apple $AAPL: 6 Reasons Apple Should Outperform into Earnings - Wells Fargo,,0
194,No just $GOOGL,,0
195,"""Sell everything I own and get me some o' dat bookstore stock!""$AMZN",,1
196,"Well it's a well known fact that OEMs are 5 years behind in EV technology. Therefore, it makes sense there's an order of magnitude difference in $TSLA's capital efficiency",,-1
197,"$GOOGL  Securities Raises TargetAlphabet (GOOGL)$1,232.0262 $1,450.00Outperform",,0
198,"Stocks with implied volatility below IV index mean; Microsoft $MSFT 17, General Electric $GE 14",,-1
199,Elon just squeezed the shit out of people LOL $tsla,,1
200,One of my favs @permabear_uk $MSFT does @petenajarian still love it too?,,1
201,I need to know if $AMD & $TSLA is for real or not,,1
202,This is partly why $AAPL's US cash balance can't be much under $15B at any one time. Tho iPhone 8 will help LOL,,1
203,I’d buy a fully loaded I-Pace with the license plate “TSLA PUT”#TESLA $TSLA,,0
204,"$AAPL just by looking at the open interest on the weekly, you knew where this was going",,0
205,"Going on a flight next month, can’t wait to download Amazon Prime movies to my phone for free inflight entertainment $AMZN",,1
206,$NVDA $AMD $VALE $AAPL $BAC $GE $PCG $MU $CAT $MSFT $FB $TSLA $INTC $F $NFLX $QCOM $BABA $EBAY $SQ $CRON $AMZN $FCX $PFE $TWTR $CELG $CGC $AAL Most active options,,1
207,At least Warren bottom picked $AAPL,,-1
208,I’ve become convinced the ONLY reason $TSLA didn’t like dealership model is their war on #RightToRepair. The waste of good parts abandoned because of that choice screams #greenwashing to me. After bk - I’m highly confident the new team will enthusiastically embrace it.,,1
209,"Lots of red out there today and in hindsight it’s always easier to say I should have held the $SPX puts. But realistically I’m very happy to only have lost ($1,536) in $NFLX $AAPL & $SPX today in a huge sell off.. . Cash is King  ",,1
210,"Ok California and your aiding and abetting in tax fraud, how can anyone ever swap out a battery in less than 15 minutes?@california @elonmusk @SEC_Enforcement $tsla",,1
211,$TSLA I would say the odds of a delayed filing are also increasing.,,0
212,$AAPL is so strong!,,1
213,"$AAPL  - RBC raises PT to $142 from $140, reiterates ""outperform"" rating. - TheStreet",,0
214,Wow President had a Temper Tantrum and walked out. Think we could have some profit taking? $SPY $AMZN $AAPL,,1
215,$TSLA fast and furious 100+ pt move is coming Very compressed weekly,,1
216,looks like $GOOGL wants to push through gap resistance before earnings,,1
217,$TSLA - Elon Musk claims he didn't intend to accuse British diver of pedophilia | Elon Musk | The Guardian,,0
218,$AMZN #Target $480.00 quick move from $474.50 alert. #VerifiedStats signal. One week until full launch. #NeverSeenBeforeModel #Verified,,1
219,As an $AMZN owner I laugh at this sell off.,,1
220,Short $AAPL @ 108.54. Gap gonna close,,0
221,"So according to their CAEATFA application, $TSLA expects Model 3 ASP's to crater by $8k in 2020.  And what's with the 250k Model 3 volume projection when they guided to production capacity of 400k units in the Q3 investor letter?  Thank you @PlainSite",,0
222,$TSLA We all know how this ends. If $250 does not hold you can kiss this sucker good bye! Musk still has his shares Levered?,,1
223,Like $TSLA and $TLSAQ...agree to disagree ,,0
224,"$AMZN 1X2 Blue Angle at 1801.35, Tline at 1792.995 and with The Sun at 0*, or 360*, Gann's Great Circle is at $1800 (5x360), next RES",,1
225,SEC should have released this news at 4:20 pm :-) $tsla $tslaq,,1
226,$AMZN needs to push through 1521 if $SPX wants higher today...,,1
227,"Intel and Facebook Take Aim at NVIDIA @themotleyfool #stocks $NVDA, $GOOGL, $AMZN, $FB, $INTC, $GOOG",,0
228,$AMZN  Anyone else with the feeling it closes red and under 1800,,0
229,In the world of GitHub today $MSFT #fintech #DevOps #github,,0
230,I think $TSLA is out of cash as well #BuckleUp,,0
231,@AragornZorEl 8 thousand $tsla Who??? Lol  $tslaq,,1
232,"$ Flows: Buying on Weakness: Among stocks that were WED, these had the largest net inflows of money $AMZN $PCG $CVX $XBI $PG $CRM $EA $XOM",,0
233,Swatch has trademarked the legendary line that Steve Jobs made famous $AAPL,,1
234,Don't worry about $AAPL off the highs here. It'll just gap up to a new all time high Monday morning premarket. $ES $SPX $SPY $NDX $QQQ $AMZN,,1
235,$TSLA Shattering expectations...,,0
236,"$AMZN did a risky call but scalped 1652.5 47.00 to 48.50 - waiting for my 5,10,13 on 15 min to pass thru mid bb",,0
237,I talked to a brand new Model S owner a few weeks ago and he said he has a list of problems 35 items long he is trying to get $TSLA service to fix. A brand new car.,,1
238,I was too scared to buy $AAPL calls but I did buy a 62.5 $TQQQ call. Looks to be near the money in after hours ,,1
239,"Next up, $tsla, marijuana and Buffet in same article.  Cleantechnia, electrek & Randall rushing to publish it as we speak.",,0
240,"$AAPL Watch ""guardian for your health"" and 'Breathe' application -- they're playing catch-up to $FIT   CC: @parkjames",,1
241,"$aapl wht a run from thid july6th block alert,,shared ystrday too",,0
242,"I hear you about $TSLA (its is a dogshit company in highly competitive, capital intensive business) but there are a lot of great businesses that would have negative net value if you had to close operations and liquidate assets.  $AAPL",,1
243,They call it the Tesla Kamikaze Autopilot. You have to read the fine print $tsla,,1
244,"P&L for the week of 8/19-8/23 2019 $3,066.00 $amzn $fb $roku $aapl $nflx $iwm $spy $googl $nvda $tsla DM OR EMAIL ME AT    daveronnie767@gmail.com ON HOW TO JOIN MY REALTIME OPTIONS ALERTS $amd $zm $bidu $ibm $twtr $bynd $ba LINK IN BIO $49.99/MTH, DM FOR 2WKS TRIAL LINK $26.49",,0
245,No but I suspect we get a bounce over the next 2 sessions. It's easy to get real bearish. And action is horrible. But I made 2 trades today both longs both were winners $AAPL $NVDADidn't stay long or long enough but money in my pocket,,-1
246,Alphabet subsidiary Verily unveils 'Study Watch' $GOOG,,0
247,"If you don't have to ask, why are you asking? Stop asking.Your 2nd statement is another way of saying that you can't afford a $TSLA car.",,0
248,$AAPL touching previous record high of $120.,,1
249,"""1,913 Model S and X vehicles""  #IAmDisappoint  $TSLA $TSLAQ",,0
250,$AMZN down $84,,-1
